Variant Name,Product Name,Supplier,Price,Kategorija Full,Category,Quality
"Stolica ""R 10 D""",R 10 D Stolica,R,9050,Stolice Štof C,Stolice,Štof C
"Stolica ""R 10 A""",R 10 A Stolica,R,9050,Stolice Štof C,Stolice,Štof C
"Klupa ""R 10 K""",R 10 K Klupa,R,16800,Stolice Štof C,Stolice,Štof C
"Stolica ""R 20""",R 20 Stolica,R,9000,Stolice Štof C,Stolice,Štof C
"Stolica ""R 30 A""",R 30 A Stolica,R,10550,Stolice Štof C,Stolice,Štof C
"Stolica ""R 30 B""",R 30 B Stolica,R,10000,Stolice Štof C,Stolice,Štof C
"Stolica ""R 30 C""",R 30 C Stolica,R,10000,Stolice Štof C,Stolice,Štof C
"Stolica "" R 40"" svi modeli",R 40 Stolica,R,9750,Stolice Štof C,Stolice,Štof C
"Stolica ""R 50 A""",R 50 A Stolica,R,9900,Stolice Štof C,Stolice,Štof C
"Stolica ""R 50 B""",R 50 B Stolica,R,9900,Stolice Štof C,Stolice,Štof C
"Stolica ""R 50 C""",R 50 C Stolica,R,9900,Stolice Štof C,Stolice,Štof C
"Stolica ""R 50 D""",R 50 D Stolica,R,9900,Stolice Štof C,Stolice,Štof C
"Stolica ""R 60""",R 60 Stolica,R,9650,Stolice Štof C,Stolice,Štof C
"Klupa "" R 60 """,R 60 Klupa,R,16800,Stolice Štof C,Stolice,Štof C
"Stolica ""R 70""",R 70 Stolica,R,9750,Stolice Štof C,Stolice,Štof C
"Stolica sa rukonaslonom ""R 50 A-R""",R 50 A-R Stolica Sa Rukonaslonom,R,11550,Stolice Štof C,Stolice,Štof C
"Stolica sa rukonaslonom ""R 50 B-R""",R 50 B-R Stolica Sa Rukonaslonom,R,11550,Stolice Štof C,Stolice,Štof C
"Stolica sa rukonaslonom ""R 50 C-R""",R 50 C-R Stolica Sa Rukonaslonom,R,11550,Stolice Štof C,Stolice,Štof C
"Stolica sa rukonaslonom ""R 50 D-R""",R 50 D-R Stolica Sa Rukonaslonom,R,11550,Stolice Štof C,Stolice,Štof C
"Stolica sa rukonaslonom ""KAIRO""",Kairo Stolica Sa Rukonaslonom,R,11650,Stolice Štof C,Stolice,Štof C
